"filename", "language", "rs", "comment", "blank", "total"
"/home/ritwik/fri-binius/src/lib.rs", "rs", 4, 0, 0, 4
"/home/ritwik/fri-binius/src/prover.rs", "rs", 230, 6, 52, 288
"/home/ritwik/fri-binius/src/tests.rs", "rs", 61, 1, 16, 78
"/home/ritwik/fri-binius/src/utils/channel.rs", "rs", 90, 3, 11, 104
"/home/ritwik/fri-binius/src/utils/code.rs", "rs", 73, 4, 12, 89
"/home/ritwik/fri-binius/src/utils/merkle.rs", "rs", 155, 6, 38, 199
"/home/ritwik/fri-binius/src/utils/mle.rs", "rs", 182, 2, 29, 213
"/home/ritwik/fri-binius/src/utils/mod.rs", "rs", 5, 0, 1, 6
"/home/ritwik/fri-binius/src/verifier.rs", "rs", 87, 4, 30, 121
"Total", "-", 887, 26, 189, 1102
